/Users/adam/work/h2co/apex/june2013/raw/M-091.F-0019-2013/M-091.F-0019-2013-2013-06-08.apex
-------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
  68380-  69983 MAP_025      AP-H201-X201    40864        1 [  -145.076196,   210.762528 ] [  -256.677087,   214.233037 ]         59.0         56.4        0
  69996-  71597 MAP_025      AP-H201-X201    40864        1 [  -255.770956,    99.085925 ] [  -182.984822,   283.444027 ]         59.1         61.7        0
  71610-  72571 MAP_025      AP-H201-X201    40864        1 [  -325.253189,   -23.727618 ] [  -128.957343,   326.523396 ]         59.0         55.1        0
  72584-  74187 MAP_025      AP-H201-X201    40865        1 [  -331.487333,   143.291907 ] [  -329.133783,    28.932725 ]        147.8        149.7        0
  74200-  75789 MAP_025      AP-H201-X201    40865        1 [  -255.439417,   212.788500 ] [  -212.718672,   141.843949 ]        147.9        147.2        0
  75802-  77403 MAP_025      AP-H201-X201    40865        1 [  -191.827863,   281.103516 ] [   -98.651793,   257.742709 ]        148.0        148.1        0
  77416-  78377 MAP_025      AP-H201-X201    40865        1 [  -119.163964,   330.628698 ] [    14.566788,   327.021317 ]        148.0        152.6        0
  78420-  80021 MAP_024      AP-H201-X201    40870        1 [   -25.664892,   328.046694 ] [  -325.710601,   141.984553 ]         59.1         58.3        0
  80034-  81635 MAP_024      AP-H201-X201    40870        1 [  -142.027343,   210.606687 ] [  -256.936061,   211.429135 ]         59.3         57.6        0
  81648-  83247 MAP_024      AP-H201-X201    40870        1 [  -252.814767,    97.973924 ] [  -186.163689,   287.180714 ]         59.0         57.5        0
/Users/adam/work/h2co/apex/april2014/E-093.C-0144A.2014JUN02/E-093.C-0144A-2014-2014-06-01.apex
-----------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     46-   1643 MAP_008      AP-H201-X201    29705        1 [   -27.098215,   327.878463 ] [  -326.776367,   146.666392 ]         59.2         59.6        0
   1656-   3249 MAP_008      AP-H201-X201    29705        1 [  -142.988823,   208.831356 ] [  -258.530483,   213.117302 ]         59.0         58.7        0
   3262-   4859 MAP_008      AP-H201-X201    29705        1 [  -255.639368,   101.606805 ] [  -186.504089,   283.158160 ]         59.3         58.6        0
   4872-   5835 MAP_008      AP-H201-X201    29705        1 [  -327.810268,   -18.824666 ] [  -122.057156,   327.712850 ]         59.3         58.5        0
   5848-   7441 MAP_008      AP-H201-X201    29706        1 [  -332.139101,   138.846483 ] [  -322.805295,    26.360120 ]        147.6        146.4        0
   7454-   9047 MAP_008      AP-H201-X201    29706        1 [  -256.607259,   212.069210 ] [  -216.502280,   142.049867 ]        147.8        147.2        0
   9060-  10653 MAP_008      AP-H201-X201    29706        1 [  -187.263733,   278.667916 ] [   -95.015760,   257.782641 ]        147.7        145.0        0
  10666-  11621 MAP_008      AP-H201-X201    29706        1 [  -111.902655,   331.252876 ] [    16.555382,   326.919865 ]        147.8        147.9        0
  11634-  13229 MAP_009      AP-H201-X201    29708        1 [   -24.595016,   329.427022 ] [  -326.019160,   143.526304 ]         59.2         57.5        0
  13242-  14833 MAP_009      AP-H201-X201    29708        1 [  -140.039826,   210.677932 ] [  -255.867653,   214.845761 ]         59.3         57.8        0
  14846-  16439 MAP_009      AP-H201-X201    29708        1 [  -253.643170,    98.158267 ] [  -183.146617,   286.202114 ]         59.1         59.2        0
  16452-  17413 MAP_009      AP-H201-X201    29708        1 [  -326.471818,   -17.756317 ] [  -121.588854,   325.863656 ]         59.3         55.2        0
  17426-  19023 MAP_009      AP-H201-X201    29709        1 [  -328.788677,   143.522858 ] [  -325.490504,    25.476047 ]        147.7        150.2        0
  19036-  20637 MAP_009      AP-H201-X201    29709        1 [  -254.687949,   216.198547 ] [  -217.693726,   140.649429 ]        147.6        147.4        0
  20650-  22241 MAP_009      AP-H201-X201    29709        1 [  -190.081514,   281.353461 ] [   -95.143728,   258.269372 ]        147.7        146.8        0
  22254-  23215 MAP_009      AP-H201-X201    29709        1 [  -116.325052,   326.076670 ] [    18.357623,   323.945739 ]        147.9        148.0        0
  23258-  24855 MAP_010      AP-H201-X201    29714        1 [   -26.186192,   330.147465 ] [  -321.895274,   148.867319 ]         59.1         57.9        0
  24868-  26465 MAP_010      AP-H201-X201    29714        1 [  -141.768045,   209.964188 ] [  -258.063058,   220.149905 ]         58.9         58.5        0
  26478-  28073 MAP_010      AP-H201-X201    29714        1 [  -255.847171,   100.152207 ] [  -181.641437,   284.154242 ]         59.2         56.8        0
  28086-  29039 MAP_010      AP-H201-X201    29714        1 [  -327.819057,   -17.190737 ] [  -120.206618,   322.770765 ]         59.0         57.2        0
  29052-  30651 MAP_010      AP-H201-X201    29715        1 [  -329.625700,   139.383015 ] [  -329.038285,    27.718884 ]        147.8        146.1        0
  30664-  32253 MAP_010      AP-H201-X201    29715        1 [  -255.437280,   212.745903 ] [  -212.524820,   140.556345 ]        147.7        151.8        0
  32266-  33863 MAP_010      AP-H201-X201    29715        1 [  -191.011285,   277.633367 ] [   -98.433341,   257.893530 ]        147.7        151.5        0
/Users/adam/work/h2co/apex/april2014/E-093.C-0144A.2014JUL31/E-093.C-0144A-2014-2014-07-30.apex
-----------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     60-   1653 MAP_005      AP-H201-X201    46874        1 [   -22.896525,   329.710488 ] [  -328.128672,   146.076323 ]         59.1         58.6        0
   1666-   3263 MAP_005      AP-H201-X201    46874        1 [  -144.565440,   209.983494 ] [  -258.007901,   214.555812 ]         59.3         60.3        0
   3276-   4897 MAP_005      AP-H201-X201    46874        1 [  -255.646716,   139.423116 ] [  -186.928184,   320.582204 ]         59.1         58.8        0
   4910-   5863 MAP_005      AP-H201-X201    46874        1 [  -327.206189,   -23.707833 ] [  -119.770349,   321.750167 ]         59.1         60.3        0
   5876-   7471 MAP_005      AP-H201-X201    46875        1 [  -327.898514,   144.409035 ] [  -327.919669,    26.366336 ]        147.8        150.3        0
   7484-   9075 MAP_005      AP-H201-X201    46875        1 [  -254.538376,   214.515375 ] [  -213.238060,   137.298164 ]        147.7        144.5        0
   9088-  10683 MAP_005      AP-H201-X201    46875        1 [  -185.461339,   283.102595 ] [   -97.763473,   259.153532 ]        147.8        149.7        0
  10696-  11651 MAP_005      AP-H201-X201    46875        1 [  -116.949686,   327.960105 ] [    19.081938,   325.997861 ]        147.9        150.0        0
  11702-  13297 MAP_006      AP-H201-X201    46886        1 [   -24.237724,   329.831775 ] [  -322.932873,   143.563583 ]         59.0         58.2        0
  13310-  14905 MAP_006      AP-H201-X201    46886        1 [  -142.993950,   213.281739 ] [  -261.664027,   215.743657 ]         59.2         59.1        0
  14918-  16511 MAP_006      AP-H201-X201    46886        1 [  -254.278394,    97.554247 ] [  -186.004655,   285.317329 ]         59.2         58.6        0
/Users/adam/work/h2co/apex/april2014/E-093.C-0144A.2014JUN03/E-093.C-0144A-2014-2014-06-02.apex
-----------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
     46-   1645 MAP_011      AP-H201-X201    29994        1 [   -25.783420,   331.085173 ] [  -327.689798,   141.634356 ]         59.1         58.9        0
   1658-   3255 MAP_011      AP-H201-X201    29994        1 [  -142.112251,   207.647473 ] [  -260.120103,   213.359539 ]         58.9         60.4        0
   3268-   4863 MAP_011      AP-H201-X201    29994        1 [  -255.474667,    99.680316 ] [  -180.956844,   283.068450 ]         59.3         58.9        0
   4876-   5839 MAP_011      AP-H201-X201    29994        1 [  -324.701457,   -22.202800 ] [  -118.575360,   326.221585 ]         59.4         56.6        0
   5852-   7447 MAP_011      AP-H201-X201    29995        1 [  -329.948715,   141.287738 ] [  -325.329285,    25.059417 ]        147.7        149.9        0
   7460-   9053 MAP_011      AP-H201-X201    29995        1 [  -254.632240,   218.266422 ] [  -213.008190,   141.954009 ]        147.7        148.1        0
   9066-  10673 MAP_011      AP-H201-X201    29995        1 [  -192.278479,   285.301121 ] [   -98.474114,   258.627301 ]        147.8        146.5        0
  10686-  11639 MAP_011      AP-H201-X201    29995        1 [  -115.240160,   325.056024 ] [    15.420654,   325.151977 ]        147.8        149.9        0
  11652-  13245 MAP_012      AP-H201-X201    29997        1 [   -26.200290,   328.857808 ] [  -326.400069,   148.345890 ]         59.2         58.3        0
  13258-  14855 MAP_012      AP-H201-X201    29997        1 [  -142.698285,   207.567776 ] [  -261.240064,   214.016110 ]         58.8         56.5        0
  14868-  16463 MAP_012      AP-H201-X201    29997        1 [  -255.878963,    99.796632 ] [  -187.117485,   283.325454 ]         59.0         59.2        0
  16476-  17435 MAP_012      AP-H201-X201    29997        1 [  -326.461084,   -18.036629 ] [  -121.428824,   322.181717 ]         59.4         57.8        0
  17448-  19045 MAP_012      AP-H201-X201    29998        1 [  -333.363564,   143.820576 ] [  -328.133571,    26.681099 ]        147.7        148.3        0
  19058-  20645 MAP_012      AP-H201-X201    29998        1 [  -254.601841,   215.798573 ] [  -212.923306,   137.907995 ]        147.8        148.8        0
  20658-  22259 MAP_012      AP-H201-X201    29998        1 [  -191.419916,   283.237641 ] [   -97.725335,   255.472626 ]        147.9        146.9        0
  22272-  23233 MAP_012      AP-H201-X201    29998        1 [  -117.317748,   326.959365 ] [    14.804766,   323.005438 ]        147.8        147.3        0
  23294-  24897 MAP_013      AP-H201-X201    30033        1 [   -22.824401,   328.386253 ] [  -327.601649,   145.496868 ]         59.0         61.4        0
  24910-  26497 MAP_013      AP-H201-X201    30033        1 [  -141.945461,   206.028870 ] [  -260.253251,   211.468300 ]         59.1         60.2        0
  26510-  28103 MAP_013      AP-H201-X201    30033        1 [  -255.158568,    97.083887 ] [  -187.114220,   284.521271 ]         59.0         62.9        0
  28116-  29077 MAP_013      AP-H201-X201    30033        1 [  -328.167765,   -20.701427 ] [  -115.966871,   327.354753 ]         59.1         55.8        0
  29090-  30689 MAP_013      AP-H201-X201    30034        1 [  -328.687272,   142.873888 ] [  -324.528063,    29.278474 ]        147.7        145.2        0
  30702-  32297 MAP_013      AP-H201-X201    30034        1 [  -267.437901,   214.938665 ] [  -215.932154,   139.878355 ]        147.8        144.2        0
  32310-  33903 MAP_013      AP-H201-X201    30034        1 [  -184.661114,   279.121246 ] [   -98.336781,   256.674590 ]        147.8        150.4        0
  33916-  34877 MAP_013      AP-H201-X201    30034        1 [  -114.008817,   329.850672 ] [    16.516947,   327.145749 ]        147.8        146.4        0
  34890-  36485 MAP_018      AP-H201-X201    30036        1 [   -26.219044,   328.448781 ] [  -328.102355,   141.086574 ]         59.3         59.3        0
  36498-  38093 MAP_018      AP-H201-X201    30036        1 [  -140.477632,   212.263302 ] [  -262.241573,   213.561699 ]         59.0         59.1        0
  38106-  39707 MAP_018      AP-H201-X201    30036        1 [  -255.125023,   100.846237 ] [  -188.782876,   284.303335 ]         59.1         60.0        0
  39720-  40673 MAP_018      AP-H201-X201    30036        1 [  -329.334550,   -20.499216 ] [  -116.553626,   327.136817 ]         59.0         60.5        0
  40686-  42289 MAP_018      AP-H201-X201    30037        1 [  -331.916410,   142.178885 ] [  -328.889193,    27.745046 ]        147.7        151.2        0
  42302-  43897 MAP_018      AP-H201-X201    30037        1 [  -252.995364,   218.211625 ] [  -214.158407,   142.820076 ]        147.8        149.0        0
  43910-  45503 MAP_018      AP-H201-X201    30037        1 [  -190.698752,   279.684144 ] [   -92.260009,   258.767989 ]        147.8        147.7        0
  45516-  46473 MAP_018      AP-H201-X201    30037        1 [  -113.405458,   325.786673 ] [    12.868894,   324.751715 ]        147.7        148.2        0
  46516-  48111 MAP_019      AP-H201-X201    30043        1 [   -26.015683,   330.362592 ] [  -321.325484,   141.064675 ]         59.4         57.4        0
  48124-  49715 MAP_019      AP-H201-X201    30043        1 [  -140.990308,   209.165728 ] [  -258.550581,   213.527506 ]         59.1         59.2        0
  49728-  51329 MAP_019      AP-H201-X201    30043        1 [  -256.093634,   100.807241 ] [  -188.313002,   289.949126 ]         59.2         59.5        0
  51342-  52297 MAP_019      AP-H201-X201    30043        1 [  -326.274820,   -18.843702 ] [  -114.669902,   322.971725 ]         59.3         57.2        0
  52310-  53905 MAP_019      AP-H201-X201    30044        1 [  -326.873041,   139.859769 ] [  -327.337416,    31.140976 ]        147.8        152.5        0
  53918-  55507 MAP_019      AP-H201-X201    30044        1 [  -256.208893,   212.026588 ] [  -212.151740,   141.273678 ]        147.9        149.6        0
  55520-  57107 MAP_019      AP-H201-X201    30044        1 [  -186.344130,   285.426009 ] [   -97.642241,   256.901939 ]        147.8        148.9        0
/Users/adam/work/h2co/apex/april2014/M-093.F-0009-2014-2014-07-20.apex
----------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
