/Users/adam/work/h2co/apex/june2013/raw/M-091.F-0019-2013/M-091.F-0019-2013-2013-06-08.apex
-------------------------------------------------------------------------------------------
Scans           Source       Telescope        Scan  Subscan [      min(RA),      max(RA) ] [     min(DEC),     max(DEC) ]        Angle      Scan PA  OTFscan
  22276-  23233 MAP_021      AP-H201-X201    30587        1 [  -116.679775,   327.226695 ] [    14.333861,   323.475048 ]        147.8        149.1        0
  23276-  24869 MAP_022      AP-H201-X201    30620        1 [   -24.566280,   331.064138 ] [  -328.892987,   143.086745 ]         59.2         58.6        0
  24882-  26473 MAP_022      AP-H201-X201    30620        1 [  -145.571391,   206.748497 ] [  -258.815246,   212.279294 ]         59.1         61.6        0
  26486-  28087 MAP_022      AP-H201-X201    30620        1 [  -254.127500,   100.399433 ] [  -187.790841,   285.774861 ]         59.1         59.4        0
  28100-  29057 MAP_022      AP-H201-X201    30620        1 [  -326.794472,   -20.658570 ] [  -116.901673,   324.465151 ]         59.2         54.2        0
  29070-  30665 MAP_022      AP-H201-X201    30621        1 [  -329.963146,   143.772863 ] [  -323.483477,    30.175528 ]        147.7        147.7        0
  30678-  32273 MAP_022      AP-H201-X201    30621        1 [  -256.723047,   212.604446 ] [  -214.358910,   141.623719 ]        147.7        148.2        0
  32286-  33879 MAP_022      AP-H201-X201    30621        1 [  -187.710435,   281.039091 ] [   -95.140684,   261.407479 ]        147.8        154.7        0
  33892-  34855 MAP_022      AP-H201-X201    30621        1 [  -124.582082,   327.461776 ] [    15.459201,   324.084026 ]        147.7        149.2        0
  34868-  36461 MAP_023      AP-H201-X201    30623        1 [   -22.390410,   329.928328 ] [  -323.507801,   146.148312 ]         59.2         60.2        0
  36474-  38069 MAP_023      AP-H201-X201    30623        1 [  -143.920023,   209.462377 ] [  -258.261736,   212.156615 ]         59.3         60.5        0
  38082-  39671 MAP_023      AP-H201-X201    30623        1 [  -256.677327,   100.188208 ] [  -182.012224,   282.345005 ]         59.1         60.0        0
  39684-  40637 MAP_023      AP-H201-X201    30623        1 [  -326.440314,   -22.594856 ] [  -118.007888,   322.965506 ]         59.5         58.0        0
  40650-  42245 MAP_023      AP-H201-X201    30624        1 [  -329.181159,   144.507666 ] [  -326.163379,    29.253717 ]        147.7        146.7        0
  42258-  43853 MAP_023      AP-H201-X201    30624        1 [  -255.163803,   219.425043 ] [  -215.403665,   142.275595 ]        147.8        148.3        0
  43866-  45471 MAP_023      AP-H201-X201    30624        1 [  -193.176710,   282.727954 ] [   -97.291930,   261.715101 ]        147.8        145.2        0
  45484-  46447 MAP_023      AP-H201-X201    30624        1 [  -116.746937,   329.325714 ] [    14.205446,   327.120993 ]        147.8        150.7        0
  46490-  48091 MAP_024      AP-H201-X201    30630        1 [   -26.270166,   329.173787 ] [  -325.464714,   148.340727 ]         59.2         61.5        0
  48104-  49697 MAP_024      AP-H201-X201    30630        1 [  -142.632395,   210.431709 ] [  -258.177789,   208.785852 ]         59.1         58.9        0
  49710-  51309 MAP_024      AP-H201-X201    30630        1 [  -257.307220,    97.020890 ] [  -187.725071,   287.863050 ]         58.9         59.6        0
  51322-  52281 MAP_024      AP-H201-X201    30630        1 [  -325.960594,   -17.213057 ] [  -121.390956,   323.762525 ]         58.8         59.6        0
  52294-  53887 MAP_024      AP-H201-X201    30631        1 [  -326.564986,   138.256042 ] [  -327.757609,    26.399314 ]        147.7        155.5        0
  53900-  55505 MAP_024      AP-H201-X201    30631        1 [  -257.239745,   218.167731 ] [  -212.110895,   142.107496 ]        147.9        154.8        0
  55518-  57115 MAP_024      AP-H201-X201    30631        1 [  -189.345822,   284.356570 ] [   -95.419162,   256.930490 ]        147.9        145.7        0
  57128-  58087 MAP_024      AP-H201-X201    30631        1 [  -116.821712,   332.200812 ] [    18.512493,   325.373083 ]        147.8        148.4        0
  58100-  59703 MAP_025      AP-H201-X201    30637        1 [   -26.463928,   330.545495 ] [  -335.760432,   148.390685 ]         59.3         58.1        0
  59716-  61315 MAP_025      AP-H201-X201    30637        1 [  -152.775814,   210.761327 ] [  -256.664793,   210.901271 ]         59.0         57.3        0
  61328-  62923 MAP_025      AP-H201-X201    30637        1 [  -253.433206,    99.259307 ] [  -183.544214,   286.437699 ]         59.2         58.3        0
  62936-  63897 MAP_025      AP-H201-X201    30637        1 [  -325.858830,   -19.133776 ] [  -123.013029,   325.017340 ]         58.7         55.9        0
  63910-  65511 MAP_025      AP-H201-X201    30638        1 [  -328.888232,   145.888090 ] [  -326.724092,    29.031080 ]        147.8        144.0        0
